genre,genre_id
Romantic TV Shows,1
Science & Nature TV,2
Action & Adventure,3
Korean TV Shows,4
Documentaries,5
TV Shows,6
Comedies,7
Anime Features,8
Sports Movies,9
Reality TV,10
Sci-Fi & Fantasy,11
TV Horror,12
Music & Musicals,13
Stand-Up Comedy,14
Crime TV Shows,15
Independent Movies,16
Anime Series,17
Kids' TV,18
Dramas,19
Romantic Movies,20
TV Mysteries,21
British TV Shows,22
Teen TV Shows,23
International Movies,24
Movies,25
TV Comedies,26
Horror Movies,27
Thrillers,28
TV Dramas,29
Spanish-Language TV Shows,30
Faith & Spirituality,31
TV Action & Adventure,32
International TV Shows,33
Docuseries,34
Classic Movies,35
Stand-Up Comedy & Talk Shows,36
TV Thrillers,37
Children & Family Movies,38
Classic & Cult TV,39
LGBTQ Movies,40
Cult Movies,41
TV Sci-Fi & Fantasy,42
